Erreur	Correction	Fréquence	
j-c)	jack	1 
(0551-0479	(0551-0479	1 
annotateur	innovateur	1 
(1716-1790)	(1716-1790)	1 
pluquet	paquet	1 
françois-andré-adrien	françois-andré-adrien	1 
(1651-1729)	(1651-1729)	1 
(bnf	donf	1 
tgb	rgb	1 
–	a	1 
obvil)	obvil)	1 
cb30263946g	cb30263946g	1 
barrois	barrons	2 
.les	les	1 
ssée-chu	ssée-chu	1 
clafliques	classiques	1 
canoniques	canonique	3 
dusecond	second	1 
tchun-tfiou	tchun-tfiou	1 
chi-king	thinking	1 
l’y-king	l’y-king	1 
lild	lily	1 
chu-kinglc	chu-kinglc	1 
l’y-king	l’y-king	1 
’	a	1 
(i)	il	1 
vifdeîau	vifdeîau	1 
l’y-king	l’y-king	1 
chufcing	chancing	1 
vat1	vat	1 
iij	ii	1 
efl	el	1 
chu-king	churning	1 
troifieme	troisieme	1 
chi-king	thinking	1 
efl	el	1 
(i).	(i).	1 
coutumes-,	coutumes	1 
lefquelles	lesquelles	1 
poéfies	poésies	1 
gouvernoient	gouvernaient	1 
tchun-tfiou	tchun-tfiou	1 
c’eft-à-dire	c’eft-à-dire	1 
ou(i)	oui	1 
efl	el	1 
duhalde	duhalde	1 
:.ip	slip	1 
ai}	ai	1 
li-ki	like	1 
(i)	il	1 
haldeibidp	haldeibidp	1 
rvati	avait	1 
facesy	faces	1 
e{ï	et	1 
(i).	(i).	1 
repréfenté	représenté	1 
(impie	impie	1 
aujourd’hui	aujourdhui	2 
fujets	sujets	1 
étoit	était	1 
(i)	il	1 
çhin	shin	1 
mém	mm	1 
l’y-icing,	l’y-icing,	1 
iij	ii	1 
expliquoient	expliquaient	1 
circonftances	circonstances	1 
l’y-king	l’y-king	1 
étoit	était	1 
connytoit	connytoit	1 
exprimoieut	exprimaient	1 
fentences	sentences	1 
foiblefse	faiblesse	1 
étoitle	étoile	1 
connoître	connaître	1 
vïj	va	1 
nécefsairement	nécessairement	1 
renfermoient	renferment	1 
devoit	devoir	1 
fuivre	suivre	1 
moralepolitiquede	moralepolitiquede	1 
néceflîté	néceflîté	1 
dévoient	dévorent	1 
fentir	sentir	1 
lorfque	lorsque	1 
profirent	profitent	1 
loix	loin	2 
s’introduifent	s’introduifent	1 
refpect	respect	1 
adminiftrateurs	administrateurs	1 
ix	il	1 
fieclcs	fields	1 
refpecl	respect	1 
plufieurs	plusieurs	1 
defeendre	defendre	1 
foldats	soldats	1 
ceux-ci	ceux-ci	1 
fages	pages	1 
oppofer	opposer	1 
pallions	allions	1 
pafse	passe	1 
puifsance	puissance	1 
ceux-là	ceux-là	1 
généralité	généralisé	1 
nou-	nous	1 
rvati	avait	1 
xj	x	1 
s’altérèrent	s’altérèrent	1 
étoient	étaient	1 
s’éclairer	éclairer	2 
