Erreur	Correction	Fréquence	
(0551?-0479?	(0551?-0479?	1 
j.-c.)	j.-c.)	1 
av.	ave	1 
annotateur	innovateur	1 
(1716-1790)	(1716-1790)	1 
françois-andré-adrien	françois-andré-adrien	1 
pluquet,	pluquet,	1 
(1651-1729)	(1651-1729)	1 
noël,	noël	1 
(bnf	donf	1 
tgb	rgb	1 
–	a	1 
obvil)	obvil)	1 
cb30263946g	cb30263946g	1 
barrois	barrons	2 
—	a	1 
(0551?-0479?	(0551?-0479?	1 
j.-c.)	j.-c.)	1 
av.	ave	1 
l’empire.	l’empire	1 
chine.	chine	1 
chine.	chine	1 
.les	les	1 
ordre;	ordres	1 
clafliques	classiques	1 
canoniques	canonique	2 
ssée-chu,	ssée-chu,	1 
kings,	kings	1 
dusecond	second	1 
ordre.	ordres	1 
canoniques:	canonique	1 
tchun-tfiou	tchun-tfiou	1 
cinq;	cinq	1 
lild.	lily	1 
chu-king,lc	chu-king,lc	1 
l’y-king,	l’y-king,	1 
chi-king,	chi-king,	1 
l’y-king	l’y-king	1 
ii.	ii	1 
’	a	1 
qui,	qui	1 
hi:	his	1 
antiquité;	antiquités	1 
m.	me	1 
vifdeîau,	vifdeîau,	1 
(i)	il	1 
chufcing.	chufcing.	1 
l’y-king,	l’y-king,	1 
vat1	vat	1 
s.	se	1 
iij	ii	1 
politique,	politique	1 
empereurs,	empereurs	1 
gouvernement.	gouvernement	1 
efl:	elle	1 
chu-king	churning	1 
troifieme	troisieme	1 
chi-king	thinking	1 
(i).	(i).	1 
moeurs,	moeurs	1 
lefquelles	lesquelles	1 
race,	race	1 
coutumes-,	coutumes	1 
efl:	elle	1 
poéfies	poésies	1 
gouvernoient	gouvernaient	1 
ou(i)	oui	1 
tchun-tfiou,	tchun-tfiou,	1 
c’eft-à-dire	c’eft-à-dire	1 
l’automne,	l’automne	1 
efl:	elle	1 
duhalde,:.i,p.	duhalde,:.i,p.	1 
ai}	ai	1 
li-ki	like	1 
(i)	il	1 
halde,ibid.p.	halde,ibid.p.	1 
rvati	avait	1 
s.	se	1 
facesy	faces	1 
e{ï	et	1 
(i).	(i).	1 
repréfenté	représenté	1 
(impie,	impie	1 
fils,	fils	1 
bourgs,	bourgs	1 
villages.	villages	1 
temps,	temps	1 
fondation:	fondation	1 
alors,	alors	1 
étoit	était	1 
femme,	femme	1 
villes,	villes	1 
ami:	ami	1 
aujourd’hui,	aujourdhui	2 
fujets,	sujets	1 
4,	de	1 
çhin,	think	1 
p.	pu	1 
l’y-icing.,	l’y-icing.,	1 
t.	tu	1 
mém,	mémo	1 
(i)	il	1 
iij	ii	1 
expliquoient	expliquaient	1 
foiblefse	faiblesse	1 
d’intelligence,	d’intelligence	1 
dit,	dit	1 
temps,	temps	1 
étoit,	était	1 
auditeurs.	auditeurs	1 
connytoit	connytoit	1 
fentences,	sentences	1 
exprimoieut	exprimaient	1 
vices.	vices	1 
maximes,	maximes	1 
circonftances,	circonstances	1 
l’y-king,	l’y-king,	1 
préceptes,	préceptes	1 
étoitle	étoile	1 
connoître	connaître	1 
renfermoient.	renfermoient.	1 
vïj	va	1 
nécefsairement	nécessairement	1 
chine;	chine	1 
entendus,	entendus	1 
devoit	devoir	1 
l’application,	l’application	1 
fuivre	suivre	1 
moralepolitiquede	moralepolitiquede	1 
néceflîté	néceflîté	1 
dévoient	dévorent	1 
observations.	observations	1 
fentir	sentir	1 
c’efl:	c’efl	1 
législateurs,	législateurs	1 
lorfque	lorsque	1 
loix;	loin	1 
profirent	profitent	1 
loix	loin	1 
mandarins:	mandarins	1 
côté,	côté	1 
s’introduifent	s’introduifent	1 
relâchement,	relâchement	1 
moeurs,	moeurs	2 
refpect	respect	1 
corrompus,	corrompus	1 
grands,	grands	1 
adminiftrateurs	administrateurs	1 
l’autre,	l’autre	1 
cour,	cours	1 
gouverneurs,	gouverneurs	1 
ix	il	1 
ions.	ions	1 
plufieurs	plusieurs	1 
guerre:	guerre	1 
defeendre.	defendre	1 
fieclcs,	fieclcs,	1 
refpecl	respect	1 
foldats	soldats	1 
citoyens,	citoyens	1 
ceux-là,	ceux-là,	1 
ceux-ci	ceux-ci	1 
oppofer	opposer	1 
pallions	allions	1 
pafse	passe	1 
inutiles.	inutiles	1 
éteindre,	éteindre	1 
puifsance	puissance	1 
fages;	pages	1 
vertu.	vertu	1 
généralité	généralisé	1 
nou-	nous	1 
rvati	avait	1 
s.	se	1 
xj	x	1 
s’altérèrent	s’altérèrent	1 
étoient	étaient	1 
s’éclairer	éclairer	1 
s’éclairer;	s’éclairer;	1 
pouvoit	pouvoir	1 
caufe	cause	1 
inftruire:	instruire	1 
l’autre.	l’autre	1 
défîmes	défies	1 
moyen,	moyen	1 
défolbient	défilaient	1 
rttablifsant	rttablifsant	1 
apperçut	aperçut	1 
temps.	temps	1 
ans,	ans	1 
efprits	esprits	1 
caufe	cause	1 
cours,	cours	1 
patrie,	patrie	1 
trine	trône	1 
dix-neuf	dix-neuf	1 
fagacké	agacé	1 
commune,	commune	1 
xiij	xiii	1 
intelligents.	intelligents	1 
observations,	observations	1 
afsez	assez	1 
généralité	généralisé	1 
fagacité	sagacité	1 
fimplicité	simplicité	1 
fouvenir	souvenir	1 
principes,	principes	1 
rétablifsement	rétablissement	1 
preferivent.	preferivent.	1 
fubfîitoit	fubfîitoit	1 
pofsédoit	possédait	1 
foupiroient	foupiroient	1 
donnoit	donnait	1 
l’empire,	l’empire	1 
jeuneffe,	jeuneffe,	1 
capables,	capables	1 
0"uvernement.	0"uvernement.	1 
qui,	qui	1 
confucius,	confucius	1 
s’emprefsa	s’emprefsa	1 
rendoit	rendait	1 
intelligibles	intelligible	1 
ii.	ii	1 
célèbre,	célèbre	1 
jufqu’à	jusquà	1 
difciples	disciples	1 
fortit,	sortit	1 
claffiques	classiques	1 
après;	après	1 
fubiïltcr,	fubiïltcr,	1 
lou:	loup	1 
lui;	lui	1 
s’éleva	souleva	1 
l’habileté,	l’habileté	1 
ouvrages.	ouvrages	1 
beftiaux.	bestiaux	1 
juftice,	justice	1 
lou,	loup	1 
préfidence	présidence	1 
remplifsoit	remplissait	1 
mandarinat	mandarin	1 
fuccès	succès	1 
qui,	qui	1 
emploi.	emploi	1 
étok	ton	1 
défintérefsement	désintéressement	1 
fonctions,	fonctions	1 
xv	tv	1 
univerfellement	universellement	1 
applaudis,	applaudis	1 
miniftre	ministre	1 
d’état.	d’état	1 
observations.	observations	1 
-eut	peut	1 
bij	big	1 
lou;	loup	1 
prince.	prince	1 
courtifan	courtisan	1 
lou:	loup	1 
tsi	si	1 
fubitement	subitement	1 
réfolut	résolut	1 
(i)	il	1 
génér.	généré	1 
hift.	hit	1 
chine,	chine	1 
rvati	avait	1 
svïj	svp	1 
s.	se	1 
lui,	lui	1 
préfent	présent	1 
rare,	rare	1 
s’écria	s’écria	1 
cornb	corne	1 
princefse	princesse	1 
apperçut	aperçut	1 
fpectacle.	spectacle	1 
oifîve	oisive	1 
jufqu’ici	jufqu’ici	1 
époufe,	épouse	1 
après,	après	1 
char.	char	1 
ling-kong,	ling-kong,	1 
