Erreur	Correction	Fréquence	
j.-c.)	j.-c.)	 
av.	ave	 
(0551?-0479?	(0551?-0479?	 
annotateur	innovateur	 
(1716-1790)	(1716-1790)	 
françois-andré-adrien	françois-andré-adrien	 
pluquet,	pluquet,	 
noël,	noël	 
(1651-1729)	(1651-1729)	 
(bnf	donf	 
obvil)	obvil)	 
–	a	 
tgb	rgb	 
cb30263946g	cb30263946g	 
barrois	barrons	 
—	a	 
j.-c.)	j.-c.)	 
av.	ave	 
(0551?-0479?	(0551?-0479?	 
l’empire.	l’empire	 
chine.	chine	 
chine.	chine	 
.les	les	 
canoniques:	canonique	 
ordre;	ordres	 
kings,	kings	 
ssée-chu,	ssée-chu,	 
ordre.	ordres	 
canoniques	canonique	 
dusecond	second	 
clafliques	classiques	 
lild.	lily	 
chi-king,	chi-king,	 
cinq;	cinq	 
l’y-king,	l’y-king,	 
tchun-tfiou	tchun-tfiou	 
chu-king,lc	chu-king,lc	 
l’y-king	l’y-king	 
ii.	ii	 
’	a	 
qui,	qui	 
hi:	his	 
antiquité;	antiquités	 
vifdeîau,	vifdeîau,	 
chufcing.	chufcing.	 
m.	me	 
l’y-king,	l’y-king,	 
(i)	il	 
iij	ii	 
vat1	vat	 
s.	se	 
empereurs,	empereurs	 
chu-king	churning	 
efl:	elle	 
gouvernement.	gouvernement	 
politique,	politique	 
gouvernoient	gouvernaient	 
efl:	elle	 
troifieme	troisieme	 
chi-king	thinking	 
moeurs,	moeurs	 
lefquelles	lesquelles	 
coutumes-,	coutumes	 
(i).	(i).	 
race,	race	 
poéfies	poésies	 
efl:	elle	 
c’eft-à-dire	c’eft-à-dire	 
ou(i)	oui	 
tchun-tfiou,	tchun-tfiou,	 
l’automne,	l’automne	 
duhalde,:.i,p.	duhalde,:.i,p.	 
ai}	ai	 
li-ki	like	 
halde,ibid.p.	halde,ibid.p.	 
(i)	il	 
rvati	avait	 
s.	se	 
(impie,	impie	 
e{ï	et	 
(i).	(i).	 
repréfenté	représenté	 
facesy	faces	 
femme,	femme	 
ami:	ami	 
alors,	alors	 
fujets,	sujets	 
étoit	était	 
aujourd’hui,	aujourdhui	 
villages.	villages	 
bourgs,	bourgs	 
fils,	fils	 
villes,	villes	 
temps,	temps	 
fondation:	fondation	 
l’y-icing.,	l’y-icing.,	 
mém,	mémo	 
p.	pu	 
t.	tu	 
çhin,	think	 
4,	de	 
(i)	il	 
iij	ii	 
dit,	dit	 
d’intelligence,	d’intelligence	 
