Erreur	Correction	Fréquence	
	a	 
coutumes-	coutumes	 
j-c)	jack	 
kvati	avait	 
iij	ii	 
l’y-king	l’y-king	 
troifieme	troisieme	 
&amp;	camp	 
i)	il	 
barrois	barrons	 
l’empereur	empereur	 
pluquet	paquet	 
efl:	elle	 
(bnf	donf	 
canoniques	canonique	 
tgb	rgb	 
(|\\ï:	(|\\ï:	 
l'asie	lasse	 
l’empire	empire	 
lild	lily	 
chufcing	chancing	 
vat1	vat	 
'\ij	ij	 
–	a	 
diverfes	diverses	 
difpolîtion	difpolîtion	 
(0551?-0479?	(0551?-0479?	 
doétrine	doctrine	 
chu-king	churning	 
(1716-1790)	(1716-1790)	 
repréfente	représente	 
ssée-chu	ssée-chu	 
lefquelles	lesquelles	 
vifdeîau	vifdeîau	 
tchun-tfiou	tchun-tfiou	 
c’eft	cet	 
chi-king	thinking	 
(1651-1729)	(1651-1729)	 
dusecond	second	 
—	a	 
chu-kinglc	chu-kinglc	 
clafliques	classiques	 
annotateur	innovateur	 
obvil)	obvil)	 
cb30263946g	cb30263946g	 
(i)	il	 
fignifîent	signifient	 
l'empire	empire	 
l’attribue	attribue	 
gouvernoient	gouvernaient	 
l’hiftoire	l’hiftoire	 
poéfies	poésies	 
l’humilité	humilité	 
françois-andré-adrien	françois-andré-adrien	 
ainfi	ainsi	 
